,Time,Size of Ads ,words of content,Treated,After,Interaction ,Unnamed: 6,Unnamed: 7,TimeManawatu,Manawatu Ads treated,Manawatu Words of content,Unnamed: 11,Weekender Treated,Weekender Ads Treated,Weekender words,Unnamed: 15,Time Hasting,Hasting Ads Treated,Hasting words ,Unnamed: 19,Unnamed: 20,Unnamed: 21,TimeNapvier,Napver Ads treated,Napier words of content,Unnamed: 25,Time Katikati,Katikati Ads control ,Katikati  words,Unnamed: 29,Time Hamilton,Hamilton ads control,Hamilton words,Unnamed: 33,Time Costal news control,Costal control ads,Costal news WORDS,Unnamed: 37,Time Whanganui control,Whanganui Ads control,Whanganui words
14,20180221,0.57952380952381,6914,1,0,0,,,20180222,0.748214285714286,6020.0,,20180223.0,0.579193277310924,7668.0,,20180221.0,0.6225,9905.0,,,,20180221,0.57952380952381,6914.0,,20180208.0,0.682068965517241,12177.0,,20180223.0,0.72525,13078.0,,20180208.0,0.682142857142857,12177.0,,20180228.0,0.6009375,7440.0
15,20180228,0.6,11347,1,0,0,,,20180301,0.5275,4347.0,,20180302.0,0.542058823529412,9645.0,,20180228.0,0.673,8818.0,,,,20180228,0.6,11347.0,,20180215.0,0.7196875,11840.0,,20180302.0,0.765675675675676,8940.0,,20180215.0,0.673214285714286,11840.0,,20180307.0,0.4712,8269.0
16,20180307,0.5305,9014,1,0,0,,,20180308,0.713333333333333,4154.0,,20180309.0,0.600069204152249,7152.0,,20180307.0,0.526,10312.0,,,,20180307,0.5305,9014.0,,20180222.0,0.699444444444444,12714.0,,20180309.0,0.7775,8853.0,,20180222.0,0.682142857142857,12714.0,,20180314.0,0.643529411764706,9903.0
17,20180314,0.678333333333333,3910,1,0,0,,,20180315,0.722916666666667,6945.0,,20180316.0,0.683719887955182,7616.0,,20180314.0,0.6012,11178.0,,,,20180314,0.678333333333333,3910.0,,20180301.0,0.7625,11331.0,,20180316.0,0.709166666666667,11227.0,,20180301.0,0.70125,11331.0,,20180321.0,0.567142857142857,6867.0
18,20180321,0.6255,7942,1,0,0,,,20180322,0.738333333333333,6183.0,,20180323.0,0.595011764705882,7589.0,,20180321.0,0.4855,13187.0,,,,20180321,0.6255,7942.0,,20180308.0,0.836296296296296,6868.0,,20180323.0,0.81,8330.0,,20180308.0,0.7,6868.0,,20180328.0,0.631351351351351,9721.0
19,20180328,0.549,8060,1,0,0,,,20180329,0.76,6513.0,,20180406.0,0.496036199095023,5758.0,,20180328.0,0.539,12819.0,,,,20180328,0.549,8060.0,,20180315.0,0.739722222222222,7441.0,,20180406.0,0.7421875,13071.0,,20180315.0,0.677142857142857,7441.0,,20180404.0,0.578333333333333,6464.0
20,20180404,0.4905,7331,1,0,0,,,20190405,0.649,5472.0,,20180413.0,0.590517647058824,11319.0,,20180404.0,0.568,9345.0,,,,20180404,0.4905,7331.0,,20180322.0,0.74969696969697,6946.0,,20180413.0,0.705833333333333,11343.0,,20180322.0,0.671428571428571,6946.0,,20180411.0,0.725357142857143,8045.0
21,20180411,0.4855,9781,1,0,0,,,20180412,0.661666666666667,6366.0,,20180420.0,0.499270588235294,10542.0,,20180411.0,0.646,13842.0,,,,20180411,0.4855,9781.0,,20180329.0,0.772432432432432,10079.0,,20180420.0,0.74,9758.0,,20180329.0,0.850697674418605,10079.0,,20180418.0,0.590833333333333,5877.0
22,20180418,0.6865,9176,1,0,0,,,20180419,0.629642857142857,5055.0,,20180427.0,0.680976470588235,6508.0,,20180418.0,0.5785,9218.0,,,,20180418,0.6865,9176.0,,20180405.0,0.731481481481482,8303.0,,20180427.0,0.7421875,10758.0,,20180405.0,0.708,8303.0,,20180425.0,0.654642857142857,8741.0
23,20180425,0.5785,7933,1,0,0,,,20180426,0.802,9083.0,,20180504.0,0.551035294117647,8888.0,,20180425.0,0.5785,11569.0,,,,20180425,0.5785,7933.0,,20180412.0,0.727857142857143,8520.0,,20180504.0,0.773611111111111,9190.0,,20180412.0,0.656666666666667,8520.0,,20180502.0,0.6321875,8099.0
